
test score: 965.5999999999999, max tile: 128.0

test score: 996.8, max tile: 128.0

test score: 1146.4, max tile: 128.0

test score: 917.5999999999999, max tile: 256.0

test score: 820.0, max tile: 128.0

test score: 996.8, max tile: 128.0

test score: 963.2, max tile: 256.0

test score: 1031.2, max tile: 256.0

test score: 951.2, max tile: 256.0

test score: 1064.8, max tile: 256.0

test score: 1120.8, max tile: 256.0

test score: 813.6, max tile: 128.0

test score: 768.8, max tile: 128.0

test score: 777.6, max tile: 128.0

test score: 1316.8, max tile: 256.0

test score: 1018.4000000000001, max tile: 256.0

test score: 708.0, max tile: 128.0

test score: 629.6, max tile: 128.0

test score: 960.0, max tile: 128.0

test score: 1360.0, max tile: 256.0

test score: 1486.4, max tile: 256.0

test score: 548.8, max tile: 128.0

test score: 966.4000000000001, max tile: 128.0

test score: 1067.2, max tile: 256.0

test score: 942.4000000000001, max tile: 128.0

test score: 844.8, max tile: 128.0

test score: 949.5999999999999, max tile: 256.0

test score: 862.4000000000001, max tile: 128.0

test score: 758.4, max tile: 256.0

test score: 851.2, max tile: 128.0

test score: 1046.4, max tile: 256.0

test score: 697.6, max tile: 128.0

test score: 818.4, max tile: 128.0

test score: 820.8, max tile: 128.0

test score: 898.4000000000001, max tile: 128.0

test score: 851.2, max tile: 128.0

test score: 1514.4, max tile: 256.0

test score: 1012.0, max tile: 128.0

test score: 1084.0, max tile: 128.0

test score: 928.8, max tile: 128.0

test score: 948.8, max tile: 256.0

test score: 720.8, max tile: 128.0

test score: 1228.0, max tile: 256.0

test score: 1160.8, max tile: 256.0

test score: 619.2, max tile: 128.0

test score: 860.0, max tile: 128.0

test score: 865.5999999999999, max tile: 256.0

test score: 857.5999999999999, max tile: 128.0

test score: 496.0, max tile: 128.0

test score: 640.0, max tile: 128.0

test score: 1022.4000000000001, max tile: 256.0

test score: 938.4000000000001, max tile: 128.0

test score: 946.4000000000001, max tile: 128.0

test score: 803.2, max tile: 128.0

test score: 1053.6, max tile: 128.0

test score: 888.0, max tile: 128.0

test score: 710.4, max tile: 128.0

test score: 812.8, max tile: 128.0

test score: 636.8, max tile: 128.0

test score: 472.79999999999995, max tile: 64.0

test score: 1112.0, max tile: 256.0

test score: 1174.4, max tile: 256.0

