
test score: 2324.0, max tile: 512.0, acc: 0.011169579030976966

epoch: 170, loss_vae: 39.417814036780506, loss_dqn: 7.4932237421213435, total: 22125, step: 174     
epoch: 171, loss_vae: 39.4048532125596, loss_dqn: 7.491774012554983, total: 22192, step: 67     
epoch: 172, loss_vae: 39.36875049780144, loss_dqn: 7.497435581527329, total: 22385, step: 193     
epoch: 173, loss_vae: 39.34464138562638, loss_dqn: 7.499118032294343, total: 22526, step: 141     
epoch: 174, loss_vae: 39.32919309884778, loss_dqn: 7.497718466314896, total: 22612, step: 86     
epoch: 175, loss_vae: 39.302866139812615, loss_dqn: 7.499768754065011, total: 22761, step: 149     
epoch: 176, loss_vae: 39.28743789288457, loss_dqn: 7.500598631312526, total: 22856, step: 95     
epoch: 177, loss_vae: 39.26260404624979, loss_dqn: 7.49983290402338, total: 23007, step: 151     
epoch: 178, loss_vae: 39.23969470270367, loss_dqn: 7.498368484704046, total: 23143, step: 136     
epoch: 179, loss_vae: 39.22109773475974, loss_dqn: 7.4954658569348425, total: 23245, step: 102     
epoch: 180, loss_vae: 39.207803917021245, loss_dqn: 7.49416886725674, total: 23320, step: 75     
epoch: 181, loss_vae: 39.18956840393113, loss_dqn: 7.493957741656941, total: 23415, step: 95     
epoch: 182, loss_vae: 39.17010632896294, loss_dqn: 7.49032195475795, total: 23519, step: 104     
epoch: 183, loss_vae: 39.134612558118775, loss_dqn: 7.484285040301831, total: 23724, step: 205     
epoch: 184, loss_vae: 39.11409835136464, loss_dqn: 7.4793677273169745, total: 23853, step: 129     
epoch: 185, loss_vae: 39.099790632804556, loss_dqn: 7.4737979421913225, total: 23935, step: 82     
epoch: 186, loss_vae: 39.0754347406746, loss_dqn: 7.467670631133052, total: 24077, step: 142     
epoch: 187, loss_vae: 39.05199996241957, loss_dqn: 7.462999708380621, total: 24217, step: 140     
epoch: 188, loss_vae: 39.015435951523465, loss_dqn: 7.460837179388207, total: 24451, step: 234     
epoch: 189, loss_vae: 39.00114309864559, loss_dqn: 7.4588662884711985, total: 24553, step: 102     
epoch: 190, loss_vae: 38.96612656403789, loss_dqn: 7.452107054595005, total: 24802, step: 249     
epoch: 191, loss_vae: 38.94831351240093, loss_dqn: 7.447962278766975, total: 24943, step: 141     
epoch: 192, loss_vae: 38.91871101619149, loss_dqn: 7.450753696522427, total: 25202, step: 259     
epoch: 193, loss_vae: 38.90348907233387, loss_dqn: 7.453071035512761, total: 25332, step: 130     
epoch: 194, loss_vae: 38.89438851710728, loss_dqn: 7.452815820853698, total: 25406, step: 74     
epoch: 195, loss_vae: 38.869826000409056, loss_dqn: 7.451554862829125, total: 25601, step: 195     
epoch: 196, loss_vae: 38.8479265107234, loss_dqn: 7.457167536914337, total: 25798, step: 197     
epoch: 197, loss_vae: 38.831814611302164, loss_dqn: 7.459181817653536, total: 25947, step: 149     
epoch: 198, loss_vae: 38.8205435566473, loss_dqn: 7.460874794905855, total: 26053, step: 106     
epoch: 199, loss_vae: 38.803963381237125, loss_dqn: 7.465609783093338, total: 26210, step: 157     
test score: 1351.6, max tile: 256.0, acc: 0.6171333890613805

epoch: 200, loss_vae: 38.79180121940194, loss_dqn: 7.471242941330319, total: 26339, step: 129     
epoch: 201, loss_vae: 38.7756108725307, loss_dqn: 7.477117668002398, total: 26499, step: 160     
epoch: 202, loss_vae: 38.76229402454155, loss_dqn: 7.479611009255191, total: 26638, step: 139     
epoch: 203, loss_vae: 38.7549028122371, loss_dqn: 7.48060782691453, total: 26704, step: 66     
epoch: 204, loss_vae: 38.746410094054255, loss_dqn: 7.483317182006579, total: 26786, step: 82     
epoch: 205, loss_vae: 38.7334116270252, loss_dqn: 7.487578442960057, total: 26901, step: 115     
epoch: 206, loss_vae: 38.71695551977088, loss_dqn: 7.491426190208194, total: 27049, step: 148     
epoch: 207, loss_vae: 38.70276072001154, loss_dqn: 7.49662125132137, total: 27186, step: 137     
epoch: 208, loss_vae: 38.69422311410048, loss_dqn: 7.500889559626951, total: 27276, step: 90     
epoch: 209, loss_vae: 38.687206630368124, loss_dqn: 7.505056384263099, total: 27346, step: 70     
epoch: 210, loss_vae: 38.66988906417702, loss_dqn: 7.519960324521679, total: 27522, step: 176     
epoch: 211, loss_vae: 38.65182480109605, loss_dqn: 7.5300576760277025, total: 27699, step: 177     
epoch: 212, loss_vae: 38.63345721184283, loss_dqn: 7.540292852846526, total: 27887, step: 188     
epoch: 213, loss_vae: 38.622380743051615, loss_dqn: 7.551088840339268, total: 28008, step: 121     
epoch: 214, loss_vae: 38.60251953813409, loss_dqn: 7.562726218009307, total: 28192, step: 184     
epoch: 215, loss_vae: 38.577830564220974, loss_dqn: 7.574305161832713, total: 28429, step: 237     
epoch: 216, loss_vae: 38.56449661355129, loss_dqn: 7.581273053222047, total: 28571, step: 142     
epoch: 217, loss_vae: 38.55280772135772, loss_dqn: 7.5904731955343525, total: 28708, step: 137     
epoch: 218, loss_vae: 38.54561984854225, loss_dqn: 7.593614088901729, total: 28775, step: 67     
epoch: 219, loss_vae: 38.53423557910973, loss_dqn: 7.597388450310729, total: 28877, step: 102     
epoch: 220, loss_vae: 38.522357027867976, loss_dqn: 7.604315621561675, total: 28990, step: 113     
epoch: 221, loss_vae: 38.50685789918967, loss_dqn: 7.605988744781685, total: 29118, step: 128     
epoch: 222, loss_vae: 38.49260993143554, loss_dqn: 7.61049334363765, total: 29247, step: 129     
epoch: 223, loss_vae: 38.48011228239555, loss_dqn: 7.616709271545348, total: 29372, step: 125     
epoch: 224, loss_vae: 38.46315317937485, loss_dqn: 7.62505066896846, total: 29546, step: 174     
epoch: 225, loss_vae: 38.45309561506716, loss_dqn: 7.626678074701955, total: 29637, step: 91     
epoch: 226, loss_vae: 38.44608376639634, loss_dqn: 7.627643352386235, total: 29707, step: 70     
epoch: 227, loss_vae: 38.426863648035535, loss_dqn: 7.6396817023065795, total: 29906, step: 199     
epoch: 228, loss_vae: 38.413599921357594, loss_dqn: 7.647501711222332, total: 30054, step: 148     
epoch: 229, loss_vae: 38.395304609065555, loss_dqn: 7.657760303270094, total: 30242, step: 188     
epoch: 230, loss_vae: 38.38165881992372, loss_dqn: 7.664968949306845, total: 30394, step: 152     
epoch: 231, loss_vae: 38.37257925821643, loss_dqn: 7.670195825324626, total: 30507, step: 113     
epoch: 232, loss_vae: 38.3649820522786, loss_dqn: 7.676524098336221, total: 30603, step: 96     
epoch: 233, loss_vae: 38.35625277169978, loss_dqn: 7.678380925131897, total: 30688, step: 85     
epoch: 234, loss_vae: 38.34035286241374, loss_dqn: 7.683671702716231, total: 30845, step: 157     
epoch: 235, loss_vae: 38.32041876689142, loss_dqn: 7.691836954499385, total: 31077, step: 232     
epoch: 236, loss_vae: 38.31117862757873, loss_dqn: 7.693507673813178, total: 31180, step: 103     
epoch: 237, loss_vae: 38.29869655231427, loss_dqn: 7.699222987397204, total: 31330, step: 150     
epoch: 238, loss_vae: 38.28589326393909, loss_dqn: 7.704104708892652, total: 31469, step: 139     
epoch: 239, loss_vae: 38.27886563134902, loss_dqn: 7.708095089248496, total: 31542, step: 73     
epoch: 240, loss_vae: 38.27160487564492, loss_dqn: 7.711150198264692, total: 31628, step: 86     
epoch: 241, loss_vae: 38.26368236201548, loss_dqn: 7.712527793055212, total: 31708, step: 80     
epoch: 242, loss_vae: 38.25057072995314, loss_dqn: 7.717152258153048, total: 31856, step: 148     
epoch: 243, loss_vae: 38.23631208587504, loss_dqn: 7.7201919458859845, total: 32024, step: 168     
epoch: 244, loss_vae: 38.225637300059844, loss_dqn: 7.722250504321967, total: 32154, step: 130     
epoch: 245, loss_vae: 38.21054082845628, loss_dqn: 7.722571474922752, total: 32338, step: 184     
epoch: 246, loss_vae: 38.202075868362094, loss_dqn: 7.724098142939311, total: 32432, step: 94     
epoch: 247, loss_vae: 38.189977023005305, loss_dqn: 7.720950566354465, total: 32573, step: 141     
epoch: 248, loss_vae: 38.17456762480041, loss_dqn: 7.719389424055442, total: 32750, step: 177     
epoch: 249, loss_vae: 38.1651505289716, loss_dqn: 7.72085814722548, total: 32873, step: 123     
test score: 826.4, max tile: 128.0, acc: 0.6688519813519813

epoch: 250, loss_vae: 38.153392086850786, loss_dqn: 7.717624755131388, total: 32991, step: 118     
epoch: 251, loss_vae: 38.14808163180981, loss_dqn: 7.71556202721291, total: 33045, step: 54     
epoch: 252, loss_vae: 38.136513477879085, loss_dqn: 7.713311606913308, total: 33159, step: 114     
epoch: 253, loss_vae: 38.122810916604266, loss_dqn: 7.712572327497949, total: 33304, step: 145     
epoch: 254, loss_vae: 38.107536505597785, loss_dqn: 7.71642404766, total: 33476, step: 172     
epoch: 255, loss_vae: 38.09750852796059, loss_dqn: 7.714673820819628, total: 33578, step: 102     
epoch: 256, loss_vae: 38.088043456291466, loss_dqn: 7.712535188610632, total: 33672, step: 94     
epoch: 257, loss_vae: 38.07915176490429, loss_dqn: 7.7104124276098664, total: 33767, step: 95     
epoch: 258, loss_vae: 38.06823952973971, loss_dqn: 7.707739508163985, total: 33873, step: 106     
epoch: 259, loss_vae: 38.050461145960554, loss_dqn: 7.703743329094819, total: 34060, step: 187     
epoch: 260, loss_vae: 38.04277484295246, loss_dqn: 7.701378717159059, total: 34134, step: 74     
epoch: 261, loss_vae: 38.03489703712466, loss_dqn: 7.701408375649432, total: 34213, step: 79     
epoch: 262, loss_vae: 38.01916205814272, loss_dqn: 7.700141785806656, total: 34361, step: 148     
epoch: 263, loss_vae: 38.00146471159909, loss_dqn: 7.697882971541517, total: 34555, step: 194     
epoch: 264, loss_vae: 37.98824513573206, loss_dqn: 7.697558193900399, total: 34707, step: 152     
epoch: 265, loss_vae: 37.97082476473546, loss_dqn: 7.703617204301959, total: 34933, step: 226     
epoch: 266, loss_vae: 37.96095259564265, loss_dqn: 7.707780104942589, total: 35069, step: 136     
epoch: 267, loss_vae: 37.95320018941079, loss_dqn: 7.709247216195867, total: 35160, step: 91     
